,date,open,close,high,low,volume,code,time
174,2018-08-09,5.34,5.34,5.34,5.33,1511.0,600642,13:25
175,2018-08-09,5.34,5.34,5.34,5.33,683.0,600642,13:30
176,2018-08-09,5.34,5.33,5.34,5.33,1509.0,600642,13:35
177,2018-08-09,5.34,5.34,5.34,5.33,812.0,600642,13:40
178,2018-08-09,5.34,5.34,5.34,5.33,871.0,600642,13:45
179,2018-08-09,5.34,5.33,5.34,5.33,995.0,600642,13:50
180,2018-08-09,5.33,5.34,5.34,5.33,753.0,600642,13:55
181,2018-08-09,5.34,5.34,5.34,5.33,1634.0,600642,14:00
182,2018-08-09,5.34,5.33,5.34,5.33,1207.0,600642,14:05
183,2018-08-09,5.34,5.34,5.34,5.33,976.0,600642,14:10
184,2018-08-09,5.33,5.34,5.34,5.33,983.0,600642,14:15
185,2018-08-09,5.34,5.34,5.34,5.33,3378.0,600642,14:20
186,2018-08-09,5.34,5.33,5.34,5.33,1384.0,600642,14:25
187,2018-08-09,5.34,5.32,5.34,5.31,7225.0,600642,14:30
188,2018-08-09,5.32,5.33,5.34,5.31,9798.0,600642,14:35
189,2018-08-09,5.33,5.33,5.34,5.33,620.0,600642,14:40
190,2018-08-09,5.34,5.33,5.34,5.32,3435.0,600642,14:45
191,2018-08-09,5.33,5.33,5.33,5.32,2119.0,600642,14:50
192,2018-08-09,5.33,5.37,5.37,5.32,15953.0,600642,14:55
193,2018-08-09,5.36,5.34,5.37,5.33,7078.0,600642,15:00
194,2018-08-10,5.16,5.13,5.16,5.13,16144.0,600642,09:35
195,2018-08-10,5.13,5.13,5.14,5.13,6031.0,600642,09:40
196,2018-08-10,5.13,5.13,5.14,5.12,6664.0,600642,09:45
197,2018-08-10,5.13,5.13,5.14,5.13,1392.0,600642,09:50
198,2018-08-10,5.14,5.13,5.14,5.13,3034.0,600642,09:55
199,2018-08-10,5.13,5.15,5.15,5.13,2909.0,600642,10:00
200,2018-08-10,5.15,5.15,5.15,5.14,656.0,600642,10:05
201,2018-08-10,5.15,5.15,5.15,5.13,1953.0,600642,10:10
202,2018-08-10,5.15,5.14,5.15,5.13,1179.0,600642,10:15
203,2018-08-10,5.14,5.13,5.14,5.13,1254.0,600642,10:20
204,2018-08-10,5.13,5.13,5.14,5.13,935.0,600642,10:25
205,2018-08-10,5.13,5.13,5.14,5.13,591.0,600642,10:30
206,2018-08-10,5.13,5.13,5.14,5.12,1853.0,600642,10:35
207,2018-08-10,5.13,5.13,5.13,5.12,1026.0,600642,10:40
208,2018-08-10,5.13,5.12,5.14,5.12,1077.0,600642,10:45
209,2018-08-10,5.12,5.14,5.14,5.12,742.0,600642,10:50
210,2018-08-10,5.14,5.14,5.14,5.13,346.0,600642,10:55
211,2018-08-10,5.14,5.13,5.14,5.13,249.0,600642,11:00
212,2018-08-10,5.13,5.13,5.13,5.13,584.0,600642,11:05
213,2018-08-10,5.13,5.14,5.14,5.13,302.0,600642,11:10
214,2018-08-10,5.14,5.12,5.14,5.12,667.0,600642,11:15
215,2018-08-10,5.12,5.14,5.14,5.12,758.0,600642,11:20
216,2018-08-10,5.14,5.13,5.14,5.13,250.0,600642,11:25
217,2018-08-10,5.13,5.13,5.14,5.13,593.0,600642,11:30
218,2018-08-10,5.13,5.12,5.14,5.12,1695.0,600642,13:05
219,2018-08-10,5.12,5.13,5.13,5.12,3649.0,600642,13:10
220,2018-08-10,5.13,5.12,5.13,5.12,744.0,600642,13:15
221,2018-08-10,5.12,5.12,5.13,5.12,1220.0,600642,13:20
222,2018-08-10,5.13,5.12,5.13,5.12,472.0,600642,13:25
223,2018-08-10,5.12,5.11,5.12,5.11,3693.0,600642,13:30
224,2018-08-10,5.11,5.11,5.12,5.1,1595.0,600642,13:35
225,2018-08-10,5.11,5.11,5.12,5.1,8187.0,600642,13:40
226,2018-08-10,5.11,5.12,5.12,5.1,914.0,600642,13:45
227,2018-08-10,5.12,5.12,5.12,5.11,979.0,600642,13:50
228,2018-08-10,5.12,5.12,5.12,5.11,846.0,600642,13:55
229,2018-08-10,5.12,5.12,5.12,5.11,1175.0,600642,14:00
230,2018-08-10,5.12,5.12,5.12,5.11,481.0,600642,14:05
231,2018-08-10,5.12,5.12,5.12,5.11,509.0,600642,14:10
232,2018-08-10,5.12,5.12,5.12,5.11,546.0,600642,14:15
233,2018-08-10,5.12,5.12,5.12,5.11,373.0,600642,14:20
234,2018-08-10,5.12,5.11,5.12,5.11,309.0,600642,14:25
235,2018-08-10,5.11,5.11,5.12,5.11,842.0,600642,14:30
236,2018-08-10,5.11,5.12,5.12,5.11,679.0,600642,14:35
237,2018-08-10,5.12,5.11,5.12,5.11,1651.0,600642,14:40
238,2018-08-10,5.11,5.11,5.12,5.11,2341.0,600642,14:45
239,2018-08-10,5.11,5.12,5.12,5.11,1333.0,600642,14:50
240,2018-08-10,5.11,5.12,5.12,5.11,1989.0,600642,14:55
241,2018-08-10,5.12,5.12,5.12,5.11,2377.0,600642,15:00
242,2018-08-13,5.11,5.1,5.11,5.08,6568.0,600642,09:35
243,2018-08-13,5.1,5.1,5.1,5.09,1924.0,600642,09:40
244,2018-08-13,5.1,5.09,5.1,5.08,2486.0,600642,09:45
245,2018-08-13,5.09,5.09,5.1,5.08,2671.0,600642,09:50
246,2018-08-13,5.09,5.08,5.1,5.07,1625.0,600642,09:55
247,2018-08-13,5.08,5.07,5.09,5.07,2621.0,600642,10:00
248,2018-08-13,5.07,5.08,5.09,5.07,953.0,600642,10:05
249,2018-08-13,5.08,5.07,5.08,5.07,368.0,600642,10:10
250,2018-08-13,5.07,5.08,5.08,5.07,989.0,600642,10:15
251,2018-08-13,5.08,5.09,5.09,5.07,634.0,600642,10:20
252,2018-08-13,5.09,5.08,5.09,5.07,764.0,600642,10:25
253,2018-08-13,5.07,5.07,5.08,5.07,931.0,600642,10:30
254,2018-08-13,5.07,5.08,5.08,5.07,435.0,600642,10:35
255,2018-08-13,5.08,5.06,5.08,5.06,3009.0,600642,10:40
256,2018-08-13,5.06,5.06,5.07,5.06,614.0,600642,10:45
257,2018-08-13,5.06,5.07,5.08,5.06,501.0,600642,10:50
258,2018-08-13,5.07,5.07,5.08,5.07,366.0,600642,10:55
259,2018-08-13,5.07,5.08,5.08,5.07,734.0,600642,11:00
260,2018-08-13,5.07,5.08,5.08,5.07,850.0,600642,11:05
261,2018-08-13,5.08,5.07,5.08,5.07,818.0,600642,11:10
262,2018-08-13,5.07,5.08,5.08,5.07,370.0,600642,11:15
263,2018-08-13,5.08,5.08,5.08,5.07,886.0,600642,11:20
264,2018-08-13,5.08,5.08,5.09,5.08,1548.0,600642,11:25
265,2018-08-13,5.08,5.09,5.09,5.08,668.0,600642,11:30
266,2018-08-13,5.09,5.08,5.09,5.08,642.0,600642,13:05
267,2018-08-13,5.08,5.09,5.09,5.08,334.0,600642,13:10
268,2018-08-13,5.09,5.08,5.09,5.08,261.0,600642,13:15
269,2018-08-13,5.08,5.09,5.09,5.08,1380.0,600642,13:20
270,2018-08-13,5.09,5.08,5.09,5.08,1446.0,600642,13:25
271,2018-08-13,5.08,5.08,5.08,5.07,2155.0,600642,13:30
272,2018-08-13,5.08,5.08,5.08,5.06,752.0,600642,13:35
273,2018-08-13,5.08,5.07,5.08,5.07,661.0,600642,13:40
274,2018-08-13,5.07,5.09,5.09,5.07,927.0,600642,13:45
275,2018-08-13,5.09,5.09,5.1,5.08,1038.0,600642,13:50
276,2018-08-13,5.09,5.09,5.1,5.09,163.0,600642,13:55
277,2018-08-13,5.09,5.12,5.12,5.09,1821.0,600642,14:00
278,2018-08-13,5.12,5.14,5.14,5.11,2818.0,600642,14:05
279,2018-08-13,5.14,5.14,5.14,5.13,1129.0,600642,14:10
280,2018-08-13,5.14,5.13,5.14,5.13,2107.0,600642,14:15
281,2018-08-13,5.13,5.12,5.14,5.12,791.0,600642,14:20
282,2018-08-13,5.12,5.14,5.14,5.12,2175.0,600642,14:25
283,2018-08-13,5.14,5.14,5.14,5.12,2414.0,600642,14:30
284,2018-08-13,5.14,5.13,5.14,5.13,1065.0,600642,14:35
285,2018-08-13,5.13,5.13,5.14,5.13,1523.0,600642,14:40
286,2018-08-13,5.13,5.11,5.14,5.11,2520.0,600642,14:45
287,2018-08-13,5.11,5.12,5.12,5.09,4282.0,600642,14:50
288,2018-08-13,5.12,5.11,5.12,5.09,2940.0,600642,14:55
289,2018-08-13,5.11,5.1,5.11,5.07,5197.0,600642,15:00
290,2018-08-14,5.11,5.12,5.13,5.09,5084.0,600642,09:35
291,2018-08-14,5.12,5.12,5.13,5.1,2131.0,600642,09:40
292,2018-08-14,5.12,5.11,5.12,5.09,944.0,600642,09:45
293,2018-08-14,5.11,5.12,5.12,5.1,1388.0,600642,09:50
294,2018-08-14,5.12,5.11,5.12,5.1,1005.0,600642,09:55
295,2018-08-14,5.11,5.1,5.12,5.1,1577.0,600642,10:00
296,2018-08-14,5.1,5.12,5.12,5.1,1877.0,600642,10:05
297,2018-08-14,5.12,5.12,5.12,5.11,952.0,600642,10:10
298,2018-08-14,5.12,5.12,5.13,5.11,1080.0,600642,10:15
299,2018-08-14,5.12,5.13,5.13,5.12,1623.0,600642,10:20
300,2018-08-14,5.13,5.14,5.14,5.12,1872.0,600642,10:25
301,2018-08-14,5.14,5.13,5.14,5.12,1141.0,600642,10:30
302,2018-08-14,5.13,5.13,5.13,5.12,726.0,600642,10:35
303,2018-08-14,5.13,5.13,5.14,5.12,595.0,600642,10:40
304,2018-08-14,5.13,5.11,5.14,5.11,1068.0,600642,10:45
305,2018-08-14,5.11,5.12,5.13,5.11,825.0,600642,10:50
306,2018-08-14,5.12,5.11,5.12,5.1,2065.0,600642,10:55
307,2018-08-14,5.11,5.1,5.12,5.1,1316.0,600642,11:00
308,2018-08-14,5.1,5.1,5.12,5.1,331.0,600642,11:05
309,2018-08-14,5.1,5.11,5.12,5.1,363.0,600642,11:10
310,2018-08-14,5.11,5.12,5.12,5.11,626.0,600642,11:15
311,2018-08-14,5.12,5.13,5.13,5.1,1836.0,600642,11:20
312,2018-08-14,5.13,5.13,5.13,5.12,991.0,600642,11:25
313,2018-08-14,5.13,5.11,5.13,5.11,569.0,600642,11:30
314,2018-08-14,5.11,5.13,5.13,5.11,1451.0,600642,13:05
315,2018-08-14,5.13,5.13,5.13,5.12,380.0,600642,13:10
316,2018-08-14,5.13,5.13,5.13,5.11,584.0,600642,13:15
317,2018-08-14,5.13,5.12,5.13,5.12,599.0,600642,13:20
318,2018-08-14,5.13,5.13,5.13,5.12,1065.0,600642,13:25
319,2018-08-14,5.13,5.13,5.14,5.12,1315.0,600642,13:30
320,2018-08-14,5.13,5.13,5.14,5.13,1184.0,600642,13:35
321,2018-08-14,5.13,5.14,5.14,5.13,625.0,600642,13:40
322,2018-08-14,5.14,5.12,5.14,5.12,1239.0,600642,13:45
323,2018-08-14,5.12,5.14,5.14,5.12,394.0,600642,13:50
324,2018-08-14,5.14,5.13,5.14,5.13,1221.0,600642,13:55
325,2018-08-14,5.13,5.14,5.14,5.13,660.0,600642,14:00
326,2018-08-14,5.13,5.13,5.14,5.12,498.0,600642,14:05
327,2018-08-14,5.13,5.13,5.13,5.12,2014.0,600642,14:10
328,2018-08-14,5.13,5.11,5.13,5.11,599.0,600642,14:15
329,2018-08-14,5.11,5.13,5.13,5.11,972.0,600642,14:20
330,2018-08-14,5.13,5.13,5.13,5.12,315.0,600642,14:25
331,2018-08-14,5.13,5.12,5.13,5.12,361.0,600642,14:30
332,2018-08-14,5.12,5.12,5.13,5.12,566.0,600642,14:35
333,2018-08-14,5.12,5.12,5.13,5.12,264.0,600642,14:40
334,2018-08-14,5.12,5.13,5.14,5.12,1109.0,600642,14:45
335,2018-08-14,5.13,5.13,5.14,5.12,706.0,600642,14:50
336,2018-08-14,5.13,5.12,5.14,5.12,884.0,600642,14:55
337,2018-08-14,5.12,5.14,5.14,5.12,1285.0,600642,15:00
338,2018-08-15,5.14,5.15,5.16,5.13,2295.0,600642,09:35
339,2018-08-15,5.15,5.14,5.15,5.13,405.0,600642,09:40
340,2018-08-15,5.14,5.14,5.15,5.13,765.0,600642,09:45
341,2018-08-15,5.14,5.14,5.15,5.13,493.0,600642,09:50
342,2018-08-15,5.14,5.14,5.14,5.12,744.0,600642,09:55
343,2018-08-15,5.14,5.14,5.14,5.11,1188.0,600642,10:00
344,2018-08-15,5.14,5.12,5.14,5.11,678.0,600642,10:05
345,2018-08-15,5.12,5.11,5.13,5.11,495.0,600642,10:10
346,2018-08-15,5.11,5.13,5.13,5.11,762.0,600642,10:15
347,2018-08-15,5.13,5.13,5.13,5.12,84.0,600642,10:20
348,2018-08-15,5.13,5.13,5.14,5.12,478.0,600642,10:25
349,2018-08-15,5.13,5.12,5.14,5.12,577.0,600642,10:30
350,2018-08-15,5.12,5.13,5.13,5.12,387.0,600642,10:35
351,2018-08-15,5.13,5.13,5.13,5.12,451.0,600642,10:40
352,2018-08-15,5.13,5.13,5.14,5.12,636.0,600642,10:45
353,2018-08-15,5.13,5.14,5.14,5.12,424.0,600642,10:50
354,2018-08-15,5.13,5.12,5.13,5.12,921.0,600642,10:55
355,2018-08-15,5.12,5.12,5.14,5.12,1998.0,600642,11:00
356,2018-08-15,5.13,5.12,5.13,5.11,1261.0,600642,11:05
357,2018-08-15,5.12,5.13,5.13,5.11,1021.0,600642,11:10
358,2018-08-15,5.13,5.1,5.13,5.1,1786.0,600642,11:15
359,2018-08-15,5.1,5.1,5.11,5.09,2207.0,600642,11:20
360,2018-08-15,5.09,5.1,5.11,5.08,1730.0,600642,11:25
361,2018-08-15,5.09,5.09,5.1,5.08,644.0,600642,11:30
362,2018-08-15,5.09,5.09,5.1,5.08,1894.0,600642,13:05
363,2018-08-15,5.09,5.09,5.09,5.08,1387.0,600642,13:10
364,2018-08-15,5.08,5.08,5.1,5.08,983.0,600642,13:15
365,2018-08-15,5.08,5.1,5.1,5.08,901.0,600642,13:20
366,2018-08-15,5.1,5.09,5.1,5.09,772.0,600642,13:25
367,2018-08-15,5.09,5.09,5.1,5.08,837.0,600642,13:30
368,2018-08-15,5.09,5.1,5.1,5.09,541.0,600642,13:35
369,2018-08-15,5.1,5.1,5.1,5.09,1683.0,600642,13:40
370,2018-08-15,5.1,5.1,5.1,5.09,480.0,600642,13:45
371,2018-08-15,5.1,5.1,5.1,5.09,508.0,600642,13:50
372,2018-08-15,5.1,5.1,5.1,5.09,1198.0,600642,13:55
373,2018-08-15,5.1,5.1,5.1,5.09,903.0,600642,14:00
374,2018-08-15,5.09,5.1,5.1,5.08,487.0,600642,14:05
375,2018-08-15,5.1,5.09,5.1,5.09,572.0,600642,14:10
376,2018-08-15,5.09,5.11,5.11,5.09,1143.0,600642,14:15
377,2018-08-15,5.11,5.1,5.11,5.09,948.0,600642,14:20
378,2018-08-15,5.1,5.1,5.1,5.09,381.0,600642,14:25
379,2018-08-15,5.1,5.1,5.1,5.08,429.0,600642,14:30
380,2018-08-15,5.1,5.09,5.1,5.08,1163.0,600642,14:35
381,2018-08-15,5.09,5.1,5.1,5.09,617.0,600642,14:40
382,2018-08-15,5.1,5.08,5.1,5.08,1236.0,600642,14:45
383,2018-08-15,5.09,5.08,5.09,5.07,2540.0,600642,14:50
384,2018-08-15,5.08,5.08,5.08,5.07,1480.0,600642,14:55
385,2018-08-15,5.08,5.09,5.1,5.08,1173.0,600642,15:00
386,2018-08-16,5.05,5.07,5.09,5.04,6409.0,600642,09:35
387,2018-08-16,5.07,5.07,5.08,5.03,3180.0,600642,09:40
388,2018-08-16,5.07,5.06,5.07,5.05,1449.0,600642,09:45
389,2018-08-16,5.06,5.04,5.06,5.04,1253.0,600642,09:50
390,2018-08-16,5.04,5.04,5.05,5.03,2776.0,600642,09:55
391,2018-08-16,5.04,5.06,5.07,5.03,2316.0,600642,10:00
392,2018-08-16,5.06,5.07,5.07,5.05,1101.0,600642,10:05
393,2018-08-16,5.07,5.07,5.07,5.06,923.0,600642,10:10
394,2018-08-16,5.07,5.07,5.08,5.06,1389.0,600642,10:15
395,2018-08-16,5.07,5.07,5.08,5.06,996.0,600642,10:20
396,2018-08-16,5.07,5.06,5.07,5.05,1732.0,600642,10:25
397,2018-08-16,5.06,5.07,5.07,5.05,1266.0,600642,10:30
398,2018-08-16,5.07,5.06,5.07,5.06,672.0,600642,10:35
399,2018-08-16,5.06,5.07,5.07,5.06,519.0,600642,10:40
400,2018-08-16,5.07,5.05,5.08,5.05,878.0,600642,10:45
401,2018-08-16,5.05,5.07,5.07,5.05,694.0,600642,10:50
402,2018-08-16,5.07,5.06,5.07,5.06,322.0,600642,10:55
403,2018-08-16,5.06,5.07,5.07,5.06,244.0,600642,11:00
404,2018-08-16,5.07,5.06,5.07,5.05,172.0,600642,11:05
405,2018-08-16,5.06,5.06,5.07,5.05,760.0,600642,11:10
406,2018-08-16,5.06,5.06,5.07,5.05,637.0,600642,11:15
407,2018-08-16,5.06,5.06,5.07,5.05,423.0,600642,11:20
408,2018-08-16,5.06,5.06,5.06,5.05,530.0,600642,11:25
