,date,open,close,high,low,volume,code
259,2018-01-23,5.833,5.814,5.842,5.794,166348.0,600642
260,2018-01-24,5.833,5.871,5.9,5.814,202222.0,600642
261,2018-01-25,5.881,5.852,5.9,5.842,158472.0,600642
262,2018-01-26,5.852,5.862,5.881,5.833,112575.0,600642
263,2018-01-29,5.891,5.891,5.968,5.871,246736.0,600642
264,2018-01-30,5.891,5.842,5.91,5.833,137081.0,600642
265,2018-01-31,5.823,5.804,5.852,5.785,147610.0,600642
266,2018-02-01,5.804,5.679,5.833,5.66,179521.0,600642
267,2018-02-02,5.669,5.823,5.833,5.669,185459.0,600642
268,2018-02-05,5.775,5.871,5.891,5.756,166309.0,600642
269,2018-02-06,5.814,5.698,5.833,5.679,198048.0,600642
270,2018-02-07,5.737,5.737,5.794,5.679,197117.0,600642
271,2018-02-08,5.727,5.679,5.785,5.64,175431.0,600642
272,2018-02-09,5.563,5.486,5.65,5.409,227045.0,600642
273,2018-02-12,5.496,5.525,5.554,5.467,91700.0,600642
274,2018-02-13,5.573,5.544,5.583,5.515,69621.0,600642
275,2018-02-14,5.534,5.515,5.534,5.486,71267.0,600642
276,2018-02-22,5.563,5.583,5.592,5.534,81084.0,600642
277,2018-02-23,5.602,5.592,5.611,5.554,80537.0,600642
278,2018-02-26,5.602,5.64,5.65,5.583,93952.0,600642
279,2018-02-27,5.64,5.66,5.66,5.592,78023.0,600642
280,2018-02-28,5.611,5.602,5.64,5.592,57278.0,600642
281,2018-03-01,5.592,5.602,5.611,5.563,74264.0,600642
282,2018-03-02,5.573,5.573,5.621,5.554,67858.0,600642
283,2018-03-05,5.554,5.573,5.602,5.554,46349.0,600642
284,2018-03-06,5.583,5.602,5.611,5.544,84763.0,600642
285,2018-03-07,5.592,5.631,5.698,5.592,120804.0,600642
286,2018-03-08,5.621,5.66,5.708,5.602,108352.0,600642
287,2018-03-09,5.66,5.66,5.688,5.611,111874.0,600642
288,2018-03-12,5.669,5.66,5.698,5.66,109942.0,600642
289,2018-03-13,5.669,5.64,5.679,5.621,63793.0,600642
290,2018-03-14,5.621,5.602,5.64,5.592,65879.0,600642
291,2018-03-15,5.583,5.611,5.64,5.573,58360.0,600642
292,2018-03-16,5.592,5.611,5.64,5.583,49802.0,600642
293,2018-03-19,5.602,5.592,5.631,5.573,49903.0,600642
294,2018-03-20,5.592,5.583,5.592,5.554,55556.0,600642
295,2018-03-21,5.583,5.592,5.631,5.583,79461.0,600642
296,2018-03-22,5.583,5.563,5.611,5.544,52928.0,600642
297,2018-03-23,5.486,5.39,5.496,5.342,182797.0,600642
298,2018-03-26,5.352,5.477,5.477,5.323,92579.0,600642
299,2018-03-27,5.496,5.515,5.534,5.477,83827.0,600642
300,2018-03-28,5.496,5.506,5.534,5.457,67162.0,600642
301,2018-03-29,5.506,5.544,5.554,5.486,72711.0,600642
